bean_name;bean_details;attribute_name
OperatingSystemImpl;CommittedVirtualMemorySize;OperatingSystemImpl.CommittedVirtualMemorySize
OperatingSystemImpl;FreePhysicalMemorySize;OperatingSystemImpl.FreePhysicalMemorySize
OperatingSystemImpl;FreeSwapSpaceSize;OperatingSystemImpl.FreeSwapSpaceSize
OperatingSystemImpl;ProcessCpuLoad;OperatingSystemImpl.ProcessCpuLoad
OperatingSystemImpl;ProcessCpuTime;OperatingSystemImpl.ProcessCpuTime
OperatingSystemImpl;SystemCpuLoad;OperatingSystemImpl.SystemCpuLoad
OperatingSystemImpl;TotalPhysicalMemorySize;OperatingSystemImpl.TotalPhysicalMemorySize
OperatingSystemImpl;TotalSwapSpaceSize;OperatingSystemImpl.TotalSwapSpaceSize
OperatingSystemImpl;Name;OperatingSystemImpl.Name
OperatingSystemImpl;Arch;OperatingSystemImpl.Arch
OperatingSystemImpl;SystemLoadAverage;OperatingSystemImpl.SystemLoadAverage
OperatingSystemImpl;Version;OperatingSystemImpl.Version
OperatingSystemImpl;AvailableProcessors;OperatingSystemImpl.AvailableProcessors
OperatingSystemImpl;ObjectName.type;OperatingSystemImpl.ObjectName.type
MemoryManagerImpl;Name;MemoryManagerImpl.Name
MemoryManagerImpl;MemoryPoolNames#0;MemoryManagerImpl.MemoryPoolNames#0
MemoryManagerImpl;MemoryPoolNames#1;MemoryManagerImpl.MemoryPoolNames#1
MemoryManagerImpl;Valid;MemoryManagerImpl.Valid
MemoryManagerImpl;ObjectName.name;MemoryManagerImpl.ObjectName.name
MemoryManagerImpl;ObjectName.type;MemoryManagerImpl.ObjectName.type
MemoryPoolImpl;Name;MemoryPoolImpl.Name
MemoryPoolImpl;Type;MemoryPoolImpl.Type
MemoryPoolImpl;MemoryManagerNames#0;MemoryPoolImpl.MemoryManagerNames#0
MemoryPoolImpl;PeakUsage.committed;MemoryPoolImpl.PeakUsage.committed
MemoryPoolImpl;PeakUsage.init;MemoryPoolImpl.PeakUsage.init
MemoryPoolImpl;PeakUsage.max;MemoryPoolImpl.PeakUsage.max
MemoryPoolImpl;PeakUsage.used;MemoryPoolImpl.PeakUsage.used
MemoryPoolImpl;Usage.committed;MemoryPoolImpl.Usage.committed
MemoryPoolImpl;Usage.init;MemoryPoolImpl.Usage.init
MemoryPoolImpl;Usage.max;MemoryPoolImpl.Usage.max
MemoryPoolImpl;Usage.used;MemoryPoolImpl.Usage.used
MemoryPoolImpl;UsageThreshold;MemoryPoolImpl.UsageThreshold
MemoryPoolImpl;UsageThresholdCount;MemoryPoolImpl.UsageThresholdCount
MemoryPoolImpl;CollectionUsageThresholdSupported;MemoryPoolImpl.CollectionUsageThresholdSupported
MemoryPoolImpl;UsageThresholdExceeded;MemoryPoolImpl.UsageThresholdExceeded
MemoryPoolImpl;UsageThresholdSupported;MemoryPoolImpl.UsageThresholdSupported
MemoryPoolImpl;Valid;MemoryPoolImpl.Valid
MemoryPoolImpl;ObjectName.name;MemoryPoolImpl.ObjectName.name
MemoryPoolImpl;ObjectName.type;MemoryPoolImpl.ObjectName.type
MBeanServerDelegate;MBeanServerId;MBeanServerDelegate.MBeanServerId
MBeanServerDelegate;SpecificationName;MBeanServerDelegate.SpecificationName
MBeanServerDelegate;SpecificationVersion;MBeanServerDelegate.SpecificationVersion
MBeanServerDelegate;SpecificationVendor;MBeanServerDelegate.SpecificationVendor
MBeanServerDelegate;ImplementationName;MBeanServerDelegate.ImplementationName
MBeanServerDelegate;ImplementationVersion;MBeanServerDelegate.ImplementationVersion
MBeanServerDelegate;ImplementationVendor;MBeanServerDelegate.ImplementationVendor
MemoryPoolImpl;Name;MemoryPoolImpl.Name
MemoryPoolImpl;Type;MemoryPoolImpl.Type
MemoryPoolImpl;CollectionUsage.committed;MemoryPoolImpl.CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init;MemoryPoolImpl.CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max;MemoryPoolImpl.CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used;MemoryPoolImpl.CollectionUsage.used
MemoryPoolImpl;CollectionUsageThreshold;MemoryPoolImpl.CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdCount;MemoryPoolImpl.CollectionUsageThresholdCount
MemoryPoolImpl;MemoryManagerNames#0;MemoryPoolImpl.MemoryManagerNames#0
MemoryPoolImpl;PeakUsage.committed;MemoryPoolImpl.PeakUsage.committed
MemoryPoolImpl;PeakUsage.init;MemoryPoolImpl.PeakUsage.init
MemoryPoolImpl;PeakUsage.max;MemoryPoolImpl.PeakUsage.max
MemoryPoolImpl;PeakUsage.used;MemoryPoolImpl.PeakUsage.used
MemoryPoolImpl;Usage.committed;MemoryPoolImpl.Usage.committed
MemoryPoolImpl;Usage.init;MemoryPoolImpl.Usage.init
MemoryPoolImpl;Usage.max;MemoryPoolImpl.Usage.max
MemoryPoolImpl;Usage.used;MemoryPoolImpl.Usage.used
MemoryPoolImpl;UsageThreshold;MemoryPoolImpl.UsageThreshold
MemoryPoolImpl;UsageThresholdCount;MemoryPoolImpl.UsageThresholdCount
MemoryPoolImpl;CollectionUsageThresholdExceeded;MemoryPoolImpl.CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdSupported;MemoryPoolImpl.CollectionUsageThresholdSupported
MemoryPoolImpl;UsageThresholdExceeded;MemoryPoolImpl.UsageThresholdExceeded
MemoryPoolImpl;UsageThresholdSupported;MemoryPoolImpl.UsageThresholdSupported
MemoryPoolImpl;Valid;MemoryPoolImpl.Valid
MemoryPoolImpl;ObjectName.name;MemoryPoolImpl.ObjectName.name
MemoryPoolImpl;ObjectName.type;MemoryPoolImpl.ObjectName.type
ClassLoadingImpl;LoadedClassCount;ClassLoadingImpl.LoadedClassCount
ClassLoadingImpl;TotalLoadedClassCount;ClassLoadingImpl.TotalLoadedClassCount
ClassLoadingImpl;UnloadedClassCount;ClassLoadingImpl.UnloadedClassCount
ClassLoadingImpl;Verbose;ClassLoadingImpl.Verbose
ClassLoadingImpl;ObjectName.type;ClassLoadingImpl.ObjectName.type
RuntimeImpl;Name;RuntimeImpl.Name
RuntimeImpl;ClassPath;RuntimeImpl.ClassPath
RuntimeImpl;StartTime;RuntimeImpl.StartTime
RuntimeImpl;ManagementSpecVersion;RuntimeImpl.ManagementSpecVersion
RuntimeImpl;SpecName;RuntimeImpl.SpecName
RuntimeImpl;SpecVendor;RuntimeImpl.SpecVendor
RuntimeImpl;SpecVersion;RuntimeImpl.SpecVersion
RuntimeImpl;SystemProperties."sun.desktop";RuntimeImpl.SystemProperties."sun.desktop"
RuntimeImpl;SystemProperties."awt.toolkit";RuntimeImpl.SystemProperties."awt.toolkit"
RuntimeImpl;SystemProperties."file.encoding.pkg";RuntimeImpl.SystemProperties."file.encoding.pkg"
RuntimeImpl;SystemProperties."java.specification.version";RuntimeImpl.SystemProperties."java.specification.version"
RuntimeImpl;SystemProperties."sun.cpu.isalist";RuntimeImpl.SystemProperties."sun.cpu.isalist"
RuntimeImpl;SystemProperties."sun.jnu.encoding";RuntimeImpl.SystemProperties."sun.jnu.encoding"
RuntimeImpl;SystemProperties."java.class.path";RuntimeImpl.SystemProperties."java.class.path"
RuntimeImpl;SystemProperties."java.vm.vendor";RuntimeImpl.SystemProperties."java.vm.vendor"
RuntimeImpl;SystemProperties."sun.arch.data.model";RuntimeImpl.SystemProperties."sun.arch.data.model"
RuntimeImpl;SystemProperties."user.variant";RuntimeImpl.SystemProperties."user.variant"
RuntimeImpl;SystemProperties."java.vendor.url";RuntimeImpl.SystemProperties."java.vendor.url"
RuntimeImpl;SystemProperties."user.timezone";RuntimeImpl.SystemProperties."user.timezone"
